readLength	count	fracTotal	fracReadsGreater
240	1	7.29501e-05	0.999927
439	1	7.29501e-05	0.999854
443	1	7.29501e-05	0.999781
454	1	7.29501e-05	0.999708
457	2	0.0001459	0.999562
458	4	0.0002918	0.99927
459	7	0.000510651	0.99876
460	4	0.0002918	0.998468
461	2	0.0001459	0.998322
462	3	0.00021885	0.998103
463	6	0.000437701	0.997666
464	9	0.000656551	0.997009
465	9	0.000656551	0.996352
466	15	0.00109425	0.995258
467	21	0.00153195	0.993726
468	19	0.00138605	0.99234
469	43	0.00313685	0.989203
470	64	0.00466881	0.984535
471	105	0.00765976	0.976875
472	157	0.0114532	0.965422
473	158	0.0115261	0.953896
474	266	0.0194047	0.934491
475	256	0.0186752	0.915816
476	155	0.0113073	0.904508
477	99	0.00722206	0.897286
478	70	0.00510651	0.89218
479	31	0.00226145	0.889918
480	25	0.00182375	0.888095
481	8	0.000583601	0.887511
482	14	0.0010213	0.88649
483	4	0.0002918	0.886198
484	4	0.0002918	0.885906
485	3	0.00021885	0.885687
489	1	7.29501e-05	0.885614
490	1	7.29501e-05	0.885541
569	1	7.29501e-05	0.885468
605	1	7.29501e-05	0.885395
637	1	7.29501e-05	0.885322
640	1	7.29501e-05	0.885249
642	1	7.29501e-05	0.885177
645	1	7.29501e-05	0.885104
648	2	0.0001459	0.884958
649	1	7.29501e-05	0.884885
650	1	7.29501e-05	0.884812
651	2	0.0001459	0.884666
652	2	0.0001459	0.88452
653	2	0.0001459	0.884374
654	3	0.00021885	0.884155
655	1	7.29501e-05	0.884082
656	3	0.00021885	0.883863
657	5	0.000364751	0.883499
658	3	0.00021885	0.88328
659	8	0.000583601	0.882696
660	7	0.000510651	0.882186
661	8	0.000583601	0.881602
662	17	0.00124015	0.880362
663	20	0.001459	0.878903
664	23	0.00167785	0.877225
665	24	0.0017508	0.875474
666	48	0.0035016	0.871973
667	59	0.00430406	0.867669
668	60	0.00437701	0.863292
669	96	0.00700321	0.856288
670	107	0.00780566	0.848483
671	146	0.0106507	0.837832
672	194	0.0141523	0.82368
673	195	0.0142253	0.809454
674	196	0.0142982	0.795156
675	135	0.00984826	0.785308
676	82	0.00598191	0.779326
677	93	0.00678436	0.772542
678	54	0.00393931	0.768602
679	40	0.002918	0.765684
680	19	0.00138605	0.764298
681	10	0.000729501	0.763569
682	8	0.000583601	0.762985
683	5	0.000364751	0.76262
684	6	0.000437701	0.762183
685	3	0.00021885	0.761964
686	3	0.00021885	0.761745
687	1	7.29501e-05	0.761672
692	1	7.29501e-05	0.761599
713	1	7.29501e-05	0.761526
721	1	7.29501e-05	0.761453
722	1	7.29501e-05	0.76138
727	1	7.29501e-05	0.761307
728	1	7.29501e-05	0.761234
733	1	7.29501e-05	0.761161
734	1	7.29501e-05	0.761088
738	1	7.29501e-05	0.761015
741	1	7.29501e-05	0.760943
742	1	7.29501e-05	0.76087
744	1	7.29501e-05	0.760797
745	2	0.0001459	0.760651
746	1	7.29501e-05	0.760578
750	3	0.00021885	0.760359
751	3	0.00021885	0.76014
752	3	0.00021885	0.759921
753	5	0.000364751	0.759556
754	8	0.000583601	0.758973
755	5	0.000364751	0.758608
756	4	0.0002918	0.758316
757	11	0.000802451	0.757514
758	14	0.0010213	0.756493
759	12	0.000875401	0.755617
760	25	0.00182375	0.753793
761	23	0.00167785	0.752116
762	34	0.0024803	0.749635
763	45	0.00328275	0.746352
764	57	0.00415816	0.742194
765	81	0.00590896	0.736285
766	90	0.00656551	0.72972
767	105	0.00765976	0.72206
768	128	0.00933761	0.712722
769	138	0.0100671	0.702655
770	136	0.00992121	0.692734
771	118	0.00860811	0.684126
772	98	0.00714911	0.676977
